Date,Open,High,Low,Close,Volume
1958-07-09,45.25,45.25,45.25,45.25,1461111
1958-07-10,45.42,45.42,45.42,45.42,1394444
1958-07-11,45.72,45.72,45.72,45.72,1333333
1958-07-14,45.14,45.14,45.14,45.14,1411111
1958-07-15,45.11,45.11,45.11,45.11,1716667
1958-07-16,45.25,45.25,45.25,45.25,1800000
1958-07-17,45.55,45.55,45.55,45.55,1766667
1958-07-18,45.77,45.77,45.77,45.77,1861111
1958-07-21,46.33,46.33,46.33,46.33,1911111
1958-07-22,46.41,46.41,46.41,46.41,1900000
1958-07-23,46.4,46.4,46.4,46.4,1972222
1958-07-24,46.65,46.65,46.65,46.65,2077778
1958-07-25,46.97,46.97,46.97,46.97,2461111
1958-07-28,47.15,47.15,47.15,47.15,2188889
1958-07-29,46.96,46.96,46.96,46.96,1838889
1958-07-30,47.09,47.09,47.09,47.09,2044444
1958-07-31,47.19,47.19,47.19,47.19,2466667
1958-08-01,47.49,47.49,47.49,47.49,1877778
1958-08-04,47.94,47.94,47.94,47.94,2222222
1958-08-05,47.75,47.75,47.75,47.75,2338889
1958-08-06,47.46,47.46,47.46,47.46,1911111
1958-08-07,47.77,47.77,47.77,47.77,1777778
1958-08-08,48.05,48.05,48.05,48.05,2027778
1958-08-11,48.16,48.16,48.16,48.16,1594444
1958-08-12,47.73,47.73,47.73,47.73,1444444
1958-08-13,47.81,47.81,47.81,47.81,1550000
1958-08-14,47.91,47.91,47.91,47.91,1872222
1958-08-15,47.5,47.5,47.5,47.5,1644444
1958-08-18,47.22,47.22,47.22,47.22,1327778
1958-08-19,47.3,47.3,47.3,47.3,1250000
1958-08-20,47.32,47.32,47.32,47.32,1366667
1958-08-21,47.63,47.63,47.63,47.63,1388889
1958-08-22,47.73,47.73,47.73,47.73,1477778
1958-08-25,47.74,47.74,47.74,47.74,1450000
1958-08-26,47.9,47.9,47.9,47.9,1616667
1958-08-27,47.91,47.91,47.91,47.91,1805556
1958-08-28,47.66,47.66,47.66,47.66,1411111
1958-08-29,47.75,47.75,47.75,47.75,1255556
1958-09-02,48,48,48,48,1627778
1958-09-03,48.18,48.18,48.18,48.18,1800000
1958-09-04,48.1,48.1,48.1,48.1,1722222
1958-09-05,47.97,47.97,47.97,47.97,1400000
1958-09-08,48.13,48.13,48.13,48.13,1683333
1958-09-09,48.46,48.46,48.46,48.46,1933333
1958-09-10,48.31,48.31,48.31,48.31,1566667
1958-09-11,48.64,48.64,48.64,48.64,1833333
1958-09-12,48.53,48.53,48.53,48.53,1722222
1958-09-15,48.96,48.96,48.96,48.96,1688889
1958-09-16,49.35,49.35,49.35,49.35,2188889
1958-09-17,49.35,49.35,49.35,49.35,2105556
1958-09-18,49.38,49.38,49.38,49.38,1922222
1958-09-19,49.4,49.4,49.4,49.4,2155556
1958-09-22,49.2,49.2,49.2,49.2,1938889
1958-09-23,49.56,49.56,49.56,49.56,2194444
1958-09-24,49.78,49.78,49.78,49.78,1733333
1958-09-25,49.57,49.57,49.57,49.57,2494444
1958-09-26,49.66,49.66,49.66,49.66,1900000
1958-09-29,49.87,49.87,49.87,49.87,2044444
1958-09-30,50.06,50.06,50.06,50.06,2311111
1958-10-01,49.98,49.98,49.98,49.98,2100000
1958-10-02,50.17,50.17,50.17,50.17,2083333
1958-10-03,50.37,50.37,50.37,50.37,2127778
1958-10-06,51.07,51.07,51.07,51.07,1983333
1958-10-07,51.07,51.07,51.07,51.07,1983333
1958-10-08,51.06,51.06,51.06,51.06,2044444
1958-10-09,51.05,51.05,51.05,51.05,2038889
1958-10-10,51.39,51.39,51.39,51.39,2561111
1958-10-13,51.62,51.62,51.62,51.62,2527778
1958-10-14,51.26,51.26,51.26,51.26,2838889
1958-10-15,50.58,50.58,50.58,50.58,2672222
1958-10-16,50.94,50.94,50.94,50.94,2533333
1958-10-17,51.46,51.46,51.46,51.46,2977778
