"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2021-11-5","15,971.59","16,003.56","16,053.39","15,900.78","1.06B","0.20%"
"2021-11-4","15,940.31","15,849.74","15,966.09","15,827.66","1.02B","0.81%"
"2021-11-3","15,811.58","15,658.52","15,821.58","15,616.44","1.00B","1.04%"
"2021-11-2","15,649.60","15,583.99","15,656.60","15,569.27","997.88M","0.34%"
"2021-11-1","15,595.92","15,541.26","15,598.95","15,470.82","1.00B","0.63%"
"2021-10-29","15,498.39","15,323.29","15,504.12","15,323.29","1.06B","0.33%"
"2021-10-28","15,448.12","15,304.74","15,452.30","15,290.31","1.06B","1.39%"
"2021-10-27","15,235.84","15,276.00","15,364.54","15,235.84","1.09B","0.00%"
"2021-10-26","15,235.71","15,317.50","15,384.00","15,198.23","1.22B","0.06%"
"2021-10-25","15,226.71","15,142.92","15,259.63","15,070.75","1.09B","0.90%"
"2021-10-22","15,090.20","15,158.07","15,193.01","15,021.02","1.10B","-0.82%"
"2021-10-21","15,215.70","15,104.80","15,222.25","15,094.14","891.24M","0.62%"
"2021-10-20","15,121.68","15,160.00","15,178.39","15,071.15","743.43M","-0.05%"
"2021-10-19","15,129.09","15,073.13","15,137.85","15,049.73","788.58M","0.71%"
"2021-10-18","15,021.81","14,839.74","15,026.68","14,833.28","798.37M","0.84%"
"2021-10-15","14,897.34","14,891.24","14,904.98","14,847.96","924.17M","0.50%"
"2021-10-14","14,823.43","14,717.50","14,827.55","14,699.53","815.46M","1.73%"
"2021-10-13","14,571.63","14,537.17","14,589.28","14,471.88","760.21M","0.73%"
"2021-10-12","14,465.92","14,539.09","14,552.71","14,441.60","768.40M","-0.14%"
"2021-10-11","14,486.20","14,540.08","14,665.99","14,482.62","664.49M","-0.64%"
"2021-10-8","14,579.54","14,694.72","14,699.91","14,569.68","670.94M","-0.51%"
"2021-10-7","14,654.02","14,631.80","14,755.72","14,615.14","798.16M","1.05%"
"2021-10-6","14,501.91","14,289.45","14,509.55","14,259.07","817.53M","0.47%"
"2021-10-5","14,433.83","14,312.86","14,508.65","14,299.78","805.23M","1.25%"
"2021-10-4","14,255.49","14,493.12","14,499.74","14,181.69","920.43M","-2.14%"
"2021-10-1","14,566.70","14,494.93","14,606.82","14,324.01","913.08M","0.82%"
"2021-9-30","14,448.58","14,582.60","14,632.36","14,444.30","1.14B","-0.44%"
"2021-9-29","14,512.44","14,614.88","14,676.62","14,493.67","980.97M","-0.24%"
"2021-9-28","14,546.68","14,787.21","14,817.74","14,539.88","996.26M","-2.83%"
"2021-9-27","14,969.97","14,954.17","15,003.16","14,864.96","894.61M","-0.52%"
"2021-9-24","15,047.70","14,961.62","15,067.56","14,946.57","773.44M","-0.03%"
"2021-9-23","15,052.24","14,960.00","15,085.44","14,932.51","788.23M","1.04%"
"2021-9-22","14,896.85","14,800.59","14,950.12","14,767.01","831.12M","1.02%"
"2021-9-21","14,746.40","14,803.36","14,847.03","14,696.47","873.64M","0.22%"
"2021-9-20","14,713.90","14,758.14","14,841.82","14,530.07","1.10B","-2.19%"
"2021-9-17","15,043.97","15,163.36","15,166.56","14,998.73","2.75B","-0.91%"
"2021-9-16","15,181.92","15,120.09","15,205.50","15,047.14","833.07M","0.13%"
"2021-9-15","15,161.53","15,071.34","15,174.38","14,984.68","987.75M","0.82%"
"2021-9-14","15,037.76","15,168.45","15,181.19","15,008.30","884.51M","-0.45%"
"2021-9-13","15,105.58","15,211.43","15,215.44","15,030.85","943.77M","-0.07%"
"2021-9-10","15,115.49","15,332.92","15,349.47","15,111.31","889.08M","-0.87%"
"2021-9-9","15,248.25","15,296.06","15,352.38","15,245.17","793.92M","-0.25%"
"2021-9-8","15,286.64","15,360.35","15,360.35","15,206.61","799.13M","-0.57%"
"2021-9-7","15,374.33","15,375.98","15,403.44","15,343.28","813.76M","0.07%"
"2021-9-3","15,363.52","15,313.42","15,375.56","15,283.67","713.30M","0.21%"
"2021-9-2","15,331.18","15,358.47","15,380.07","15,285.35","771.82M","0.14%"
"2021-9-1","15,309.38","15,308.97","15,379.50","15,302.11","836.30M","0.33%"
"2021-8-31","15,259.24","15,262.88","15,278.96","15,202.67","981.94M","-0.04%"
"2021-8-30","15,265.89","15,165.94","15,288.08","15,165.12","807.58M","0.90%"
"2021-8-27","15,129.50","14,969.76","15,144.48","14,966.52","857.20M","1.23%"
"2021-8-26","14,945.81","15,025.17","15,059.63","14,939.56","698.67M","-0.64%"
"2021-8-25","15,041.86","15,039.03","15,059.43","15,011.58","760.11M","0.15%"
"2021-8-24","15,019.80","14,978.14","15,034.89","14,965.54","737.23M","0.52%"
"2021-8-23","14,942.65","14,776.98","14,963.46","14,776.98","782.67M","1.55%"
"2021-8-20","14,714.66","14,571.53","14,722.16","14,571.53","828.73M","1.19%"
"2021-8-19","14,541.79","14,423.16","14,610.76","14,423.16","841.84M","0.11%"
"2021-8-18","14,525.91","14,636.24","14,697.25","14,516.30","764.92M","-0.89%"
"2021-8-17","14,656.18","14,670.56","14,716.95","14,550.88","797.61M","-0.93%"
"2021-8-16","14,793.76","14,771.53","14,794.68","14,610.02","774.04M","-0.20%"
"2021-8-13","14,822.90","14,825.07","14,850.61","14,797.22","774.68M","0.04%"
"2021-8-12","14,816.26","14,751.36","14,824.31","14,698.94","783.88M","0.35%"
"2021-8-11","14,765.13","14,834.38","14,842.50","14,692.41","787.41M","-0.16%"
"2021-8-10","14,788.09","14,887.75","14,894.61","14,754.48","781.07M","-0.49%"
"2021-8-9","14,860.18","14,855.75","14,883.81","14,802.69","801.12M","0.16%"
"2021-8-6","14,835.76","14,864.22","14,890.18","14,788.59","817.60M","-0.40%"
"2021-8-5","14,895.12","14,794.08","14,896.47","14,776.03","842.72M","0.78%"
"2021-8-4","14,780.53","14,747.21","14,812.37","14,734.12","875.56M","0.13%"
"2021-8-3","14,761.29","14,714.00","14,762.60","14,584.09","831.95M","0.55%"
"2021-8-2","14,681.07","14,758.60","14,770.41","14,665.67","752.76M","0.06%"
"2021-7-30","14,672.68","14,615.85","14,728.79","14,615.85","788.21M","-0.71%"
"2021-7-29","14,778.26","14,771.17","14,833.74","14,761.38","760.01M","0.11%"
"2021-7-28","14,762.58","14,715.66","14,798.88","14,645.63","839.14M","0.70%"
"2021-7-27","14,660.58","14,807.95","14,811.08","14,503.76","885.24M","-1.21%"
"2021-7-26","14,840.71","14,821.03","14,863.65","14,790.49","850.81M","0.03%"
"2021-7-23","14,836.99","14,753.06","14,846.06","14,698.77","758.41M","1.04%"
"2021-7-22","14,684.60","14,652.72","14,694.19","14,617.87","712.06M","0.36%"
"2021-7-21","14,631.95","14,508.75","14,633.14","14,498.65","801.83M","0.92%"
"2021-7-20","14,498.88","14,330.46","14,555.75","14,271.23","1.03B","1.57%"
"2021-7-19","14,274.98","14,235.98","14,313.60","14,178.66","916.44M","-1.06%"
