"Date","Price","Open","High","Low","Vol.","Change %"
"06/16/2023","13,689.57","13,859.07","13,864.06","13,680.95","2.92B","-0.68%"
"06/15/2023","13,782.82","13,572.88","13,828.17","13,561.37","1.13B","1.15%"
"06/14/2023","13,626.48","13,570.56","13,661.74","13,455.99","1.16B","0.39%"
"06/13/2023","13,573.32","13,566.52","13,594.40","13,473.19","1.04B","0.83%"
"06/12/2023","13,461.92","13,326.37","13,465.91","13,302.58","974.53M","1.53%"
"06/09/2023","13,259.14","13,312.40","13,385.95","13,229.33","899.24M","0.16%"
"06/08/2023","13,238.52","13,113.27","13,248.60","13,101.18","873.24M","1.02%"
"06/07/2023","13,104.90","13,295.26","13,361.90","13,089.48","1.11B","-1.29%"
"06/06/2023","13,276.42","13,199.59","13,306.20","13,165.65","978.70M","0.36%"
"06/05/2023","13,229.43","13,238.48","13,330.65","13,194.95","887.68M","-0.09%"
"06/02/2023","13,240.77","13,190.48","13,256.21","13,125.86","941.89M","1.07%"
"06/01/2023","13,100.98","12,944.46","13,141.83","12,903.63","957.13M","1.28%"
"05/31/2023","12,935.28","12,968.38","13,029.08","12,889.37","1.94B","-0.63%"
"05/30/2023","13,017.43","13,109.10","13,154.29","12,968.12","969.21M","0.32%"
"05/26/2023","12,975.69","12,736.42","13,001.91","12,729.74","914.77M","2.19%"
"05/25/2023","12,698.09","12,706.44","12,736.92","12,604.89","970.50M","1.71%"
"05/24/2023","12,484.16","12,481.90","12,529.63","12,415.85","842.72M","-0.61%"
"05/23/2023","12,560.25","12,652.88","12,709.74","12,554.43","899.73M","-1.26%"
"05/22/2023","12,720.78","12,664.44","12,756.23","12,655.26","886.96M","0.50%"
"05/19/2023","12,657.90","12,709.46","12,731.73","12,624.06","899.33M","-0.24%"
"05/18/2023","12,688.84","12,513.87","12,698.50","12,512.26","932.19M","1.51%"
"05/17/2023","12,500.57","12,388.58","12,514.07","12,335.02","936.59M","1.28%"
"05/16/2023","12,343.05","12,327.05","12,403.81","12,324.52","857.54M","-0.18%"
"05/15/2023","12,365.21","12,301.17","12,376.40","12,263.35","857.25M","0.66%"
"05/12/2023","12,284.74","12,350.52","12,364.65","12,209.58","865.58M","-0.36%"
"05/11/2023","12,328.51","12,321.26","12,347.38","12,255.44","934.31M","0.18%"
"05/10/2023","12,306.44","12,286.66","12,337.69","12,180.86","1.04B","1.04%"
"05/09/2023","12,179.55","12,195.78","12,216.13","12,174.06","899.76M","-0.63%"
"05/08/2023","12,256.92","12,231.68","12,264.99","12,178.26","882.60M","0.18%"
"05/05/2023","12,235.41","12,073.03","12,264.83","12,065.72","1.01B","2.25%"
"05/04/2023","11,966.40","11,997.34","12,033.15","11,925.37","1.01B","-0.49%"
"05/03/2023","12,025.33","12,097.04","12,212.55","12,022.46","1.09B","-0.46%"
"05/02/2023","12,080.51","12,198.02","12,206.58","12,015.23","1.05B","-1.08%"
"05/01/2023","12,212.60","12,210.05","12,261.32","12,181.08","926.58M","-0.11%"
"04/28/2023","12,226.58","12,117.54","12,227.72","12,082.57","1.07B","0.69%"
"04/27/2023","12,142.24","11,972.15","12,154.01","11,950.92","986.43M","2.43%"
